City,Country,Latitude,Longitude,Max. Temp.(C),Humidity(%),Cloudiness(%),Windspeed(mph),Date
Atikokan,CA,48.76,-91.62,16.83,24,2,3.85,1559509199
Zhuanghe,CN,39.7,122.97,13.33,95,60,2.98,1559509462
Adrar,DZ,27.87,-0.29,31.0,12,0,6.2,1559509464
Yancheng,CN,33.39,120.14,18.73,70,0,3.43,1559509465
Nola,CF,3.52,16.05,21.83,94,96,0.97,1559509466
San Cristobal,EC,-1.02,-79.44,27.23,83,100,3.57,1559509467
Gamboula,CF,4.12,15.14,20.83,96,94,1.12,1559509468
Verkhnyaya Inta,RU,65.99,60.32,8.83,61,78,5.24,1559509469
Bandarbeyla,SO,9.49,50.81,27.53,74,94,6.77,1559509471
Rafai,CF,4.95,23.92,21.73,98,100,1.2,1559509475
Tazovskiy,RU,67.47,78.7,-1.47,90,86,4.3,1559509346
North Augusta,US,33.5,-81.97,35.0,26,20,4.12,1559509477
La Asuncion,VE,11.03,-63.86,30.0,70,40,4.97,1559509478
Wanxian,CN,30.8,108.39,20.63,63,0,1.19,1559509479
Ostersund,SE,63.18,14.64,10.0,61,0,3.6,1559509481
Porangatu,BR,-13.44,-49.14,24.33,60,35,1.46,1559509482
Urcos,PE,-13.69,-71.62,21.0,21,40,1.5,1559509483
Pasni,PK,25.26,63.48,33.63,30,0,3.0,1559509487
Maymyo,MM,22.03,96.47,26.53,82,29,3.97,1559509488
Pozo Colorado,PY,-23.49,-58.8,17.93,91,34,2.4,1559509489
Westlock,CA,54.15,-113.85,21.11,36,1,2.1,1559509281
Dandong,CN,40.12,124.37,12.83,89,100,3.32,1559509492
Qandala,SO,11.47,49.87,30.73,71,96,1.06,1559509497
Vila Velha,BR,-3.71,-38.6,28.0,74,0,3.1,1559509498
Alugan,PH,12.22,125.48,26.03,89,46,1.29,1559509499
Manoel Urbano,BR,-8.84,-69.26,29.83,65,86,2.22,1559509500
Lobito,AO,-12.35,13.55,22.73,80,0,1.84,1559509410
Kaeo,NZ,-35.1,173.78,8.33,100,0,3.19,1559509503
Los Llanos de Aridane,ES,28.66,-17.92,22.0,83,0,5.1,1559509504
Bonavista,CA,48.65,-53.11,2.78,85,100,1.34,1559509505
Darhan,MN,49.49,105.92,10.53,76,100,0.85,1559509506
Mitu,CO,1.2,-70.17,30.73,58,100,1.44,1559509507
Altay,CN,47.83,88.13,7.03,79,22,3.2,1559509509
La Rioja,AR,-29.41,-66.86,13.33,63,0,2.75,1559509514
Kabalo,CD,-6.05,26.92,24.13,43,0,2.36,1559509515
Along,IN,28.17,94.8,13.63,83,95,1.99,1559509516
Chumikan,RU,54.72,135.31,5.33,85,99,0.55,1559509518
Xinzhi,CN,36.5,111.7,17.93,39,4,0.84,1559509519
Storforshei,NO,66.4,14.52,6.0,75,0,1.0,1559509520
Caravelas,BR,-17.73,-39.27,25.23,74,0,3.03,1559509521
Grand Forks,US,47.91,-97.06,21.11,24,1,1.95,1559509528
Teknaf,BD,20.86,92.31,29.73,74,100,3.66,1559509529
Tagusao,PH,9.19,117.81,28.63,73,100,0.89,1559509530
Nome,US,30.04,-94.42,36.11,49,75,3.1,1559509532
Tafresh,IR,34.69,50.01,19.33,29,0,1.49,1559509533
Arica,CL,-18.48,-70.32,19.0,63,0,4.1,1559509534
Halifax,CA,44.65,-63.58,11.11,100,90,6.2,1559509416
Madimba,TZ,-10.4,40.33,19.23,96,0,1.9,1559509536
Tabou,CI,4.42,-7.36,23.63,96,82,1.51,1559509537
Mocuba,MZ,-16.84,36.99,16.23,97,0,1.34,1559509538
Geraldton,AU,-28.77,114.6,15.0,28,0,6.7,1559509539
Zhangye,CN,38.94,100.46,15.73,28,0,3.49,1559509361
Harper,LR,4.38,-7.71,24.93,89,86,3.2,1559509542
Husavik,IS,66.04,-17.34,6.0,56,90,3.1,1559509543
Kuvshinovo,RU,57.03,34.18,10.83,96,0,2.56,1559509544
Teya,RU,60.37,92.63,0.43,95,0,1.17,1559509545
Rochester,US,44.02,-92.46,25.0,28,40,5.7,1559509308
Nurota,UZ,40.56,65.69,18.0,88,90,5.1,1559509553
Sangmelima,CM,2.93,11.98,20.53,99,100,0.96,1559509554
Shimanovsk,RU,52.0,127.67,12.53,62,7,1.28,1559509555
Bang Mun Nak,TH,16.03,100.38,28.53,72,100,1.32,1559509557
Balkanabat,TM,39.51,54.36,28.33,32,0,3.37,1559509559
Mingshui,CN,22.81,109.89,23.33,91,0,1.09,1559509560
Miri,MY,4.41,114.01,24.0,100,75,0.92,1559509561
Saveh,IR,35.02,50.36,19.33,29,0,1.49,1559509562
Sergeyevka,KZ,53.88,67.42,13.93,80,0,3.24,1559509563
Evensk,RU,61.92,159.24,8.63,77,56,2.09,1559509565
Mendoza,AR,-32.89,-68.84,18.0,36,0,1.9,1559509571
Fraga,ES,41.52,0.35,21.67,45,0,4.1,1559509587
Nanding,CN,24.87,105.42,17.33,76,6,0.85,1559509588
Jovellanos,CU,22.8,-81.19,26.0,88,75,1.5,1559509589
Poya,NC,-21.35,165.16,22.23,69,33,5.8,1559509590
Topolobampo,MX,25.6,-109.05,28.89,65,90,5.1,1559509592
Waingapu,ID,-9.65,120.26,23.63,83,45,6.07,1559509593
Moindou,NC,-21.69,165.68,19.0,72,0,1.5,1559509594
Palakollu,IN,16.52,81.72,29.73,87,97,4.1,1559509595
Maniitsoq,GL,65.42,-52.9,5.03,67,76,4.17,1559509596
Kidal,ML,18.44,1.41,35.23,8,5,3.2,1559509597
Khasan,RU,42.43,130.64,13.43,82,90,0.57,1559513374
Fare,PF,-16.7,-151.02,27.33,70,33,5.1,1559513376
Qaqortoq,GL,60.72,-46.03,8.0,49,92,4.6,1559513377
Ribe,DK,55.33,8.76,18.33,82,62,4.1,1559513378
