City,Country,Latitude,Longitude,Max. Temp.(C),Humidity(%),Cloudiness(%),Windspeed(mph),Date
Lloydminster,CA,53.28,-110.01,25.0,57,40,5.7,1563841892
Sungaipenuh,ID,-2.08,101.38,21.62,96,100,1.77,1563841893
Preobrazheniye,RU,42.9,133.91,21.12,93,70,1.48,1563841894
Nizhniy Tsasuchey,RU,50.52,115.13,17.72,73,92,3.75,1563841895
Kupang,ID,-10.16,123.6,22.92,65,0,3.88,1563841896
Durham,US,36.0,-78.9,32.22,55,40,3.6,1563841624
Tygda,RU,53.11,126.33,12.12,98,100,2.33,1563841899
Kavaratti,IN,10.57,72.64,28.32,77,100,9.69,1563841900
Tezu,IN,27.93,96.16,22.52,95,100,0.25,1563841878
Shieli,KZ,44.18,66.74,26.32,26,0,3.04,1563841902
Garmsar,IR,35.22,52.34,25.22,26,74,2.47,1563841903
Lamar,US,38.09,-102.62,28.0,42,75,6.7,1563841904
Kangalassy,RU,62.35,129.97,18.0,31,0,2.0,1563841906
Hambantota,LK,6.12,81.12,25.0,100,40,2.1,1563841907
Ulaangom,MN,49.98,92.07,19.92,49,42,1.12,1563841908
Maragogi,BR,-9.01,-35.22,21.02,94,1,2.29,1563841909
Tingo Maria,PE,-9.29,-76.01,5.72,95,57,0.62,1563841734
Sistranda,NO,63.73,8.83,15.56,93,75,1.0,1563841911
Usogorsk,RU,63.43,48.71,12.62,98,100,3.56,1563841912
Esperance,AU,-33.86,121.89,11.0,87,90,6.2,1563841914
Quelimane,MZ,-17.88,36.89,14.42,85,15,1.36,1563841915
Pacifica,US,37.61,-122.49,27.22,93,90,2.6,1563841916
Hermosillo,MX,29.09,-110.96,39.44,35,40,3.6,1563841826
Tignere,CM,7.37,12.65,18.22,96,45,0.17,1563841918
Jiayuguan,CN,39.77,98.29,20.82,41,96,5.42,1563841919
Poum,NC,-20.23,164.02,20.62,63,0,4.26,1563841920
Puerto Leguizamo,CO,-0.19,-74.78,22.52,97,85,1.04,1563841922
Fortuna,US,40.6,-124.16,20.0,63,1,6.2,1563841923
Kamarion,GR,36.8,25.82,25.0,65,0,7.7,1563841924
Tual,ID,-5.67,132.75,24.52,81,26,9.45,1563841925
Sechura,PE,-5.56,-80.82,18.02,87,73,7.12,1563841926
Qaqortoq,GL,60.72,-46.03,11.0,66,31,2.6,1563841927
Batagay,RU,67.65,134.64,14.32,38,26,2.53,1563841929
Coquimbo,CL,-29.95,-71.34,11.0,71,0,2.1,1563841930
Angouleme,FR,45.65,0.15,27.0,53,0,2.1,1563841931
Komsomolskiy,RU,67.55,63.78,12.52,71,95,3.97,1563841932
Mitu,CO,1.2,-70.17,22.92,93,85,0.61,1563841933
Mitsamiouli,KM,-11.38,43.28,22.92,70,0,11.45,1563841934
Farafangana,MG,-22.82,47.83,14.12,89,94,1.78,1563841936
Ambon,ID,-3.7,128.18,24.92,77,22,6.28,1563841937
Caravelas,BR,-17.73,-39.27,22.52,82,44,4.64,1563841938
Talakan,RU,50.29,130.28,19.22,90,66,2.35,1563841939
Deputatskiy,RU,69.3,139.9,8.42,52,76,1.98,1563841940
Quang Ngai,VN,15.12,108.8,24.42,81,98,1.17,1563841941
Pangai,TO,-19.8,-174.35,24.0,53,20,3.6,1563841943
Terrace Bay,CA,48.78,-87.1,18.32,54,29,4.48,1563841944
Koumac,NC,-20.56,164.28,20.62,63,0,4.26,1563841945
Boguchany,RU,58.38,97.46,16.92,75,22,1.09,1563841946
Cortez,US,37.35,-108.58,31.0,25,1,7.2,1563841924
San Miguel,PH,11.29,124.83,27.72,72,79,2.11,1563841948
Kuytun,RU,54.34,101.51,18.02,77,100,0.53,1563841949
Santa Fe,CU,23.13,-82.26,28.0,74,75,1.5,1563841951
Zhangye,CN,38.94,100.46,18.22,49,97,3.08,1563841952
Taganak,PH,6.08,118.3,26.0,88,75,2.1,1563841953
Kaya,BF,13.09,-1.08,28.02,59,14,5.23,1563841954
Shimoda,JP,34.7,138.93,27.0,100,75,3.1,1563841955
Kungurtug,RU,50.6,97.53,14.82,53,0,0.28,1563841956
Kigoma,TZ,-4.88,29.64,17.0,82,0,1.87,1563841957
Manono,CD,-7.3,27.4,17.12,44,7,1.31,1563841959
College,US,64.86,-147.8,27.0,36,1,0.38,1563841814
Morgan City,US,29.7,-91.21,28.89,78,1,4.1,1563841961
San Luis,MX,32.49,-114.78,39.0,31,75,4.1,1563841684
Port Blair,IN,11.67,92.75,28.52,79,83,8.86,1563841963
Taunggyi,MM,20.78,97.03,19.72,93,100,2.25,1563841964
Gordeyevka,RU,52.96,31.97,13.62,98,67,2.99,1563841966
Kirkland Lake,CA,48.15,-80.03,21.0,37,1,3.6,1563841967
Ngunguru,NZ,-35.62,174.5,15.56,76,0,1.34,1563841860
Utrera,ES,37.18,-5.78,28.0,69,0,1.5,1563841969
Awbari,LY,26.59,12.77,25.92,20,0,4.15,1563841970
Phitsanulok,TH,16.82,100.26,28.0,94,20,1.5,1563841972
Sao Felix do Xingu,BR,-6.64,-51.99,23.92,60,0,1.37,1563841973
Cartagena,CO,5.03,-75.64,23.0,83,40,6.2,1563841974
Marrakesh,MA,31.63,-7.99,25.0,61,0,2.6,1563841975
Xai-Xai,MZ,-25.04,33.64,13.32,50,0,3.96,1563841976
Te Anau,NZ,-45.41,167.72,7.12,81,70,0.96,1563841893
Vylkove,UA,45.4,29.58,20.62,79,7,4.5,1563841979
Yasothon,TH,15.8,104.15,28.89,88,75,2.6,1563841980
Mansa,ZM,-11.21,28.88,11.62,77,0,1.69,1563841981
Saint-Joseph,RE,-21.37,55.62,17.0,88,26,5.1,1563841982
Isangel,VU,-19.55,169.27,23.0,60,75,2.6,1563841983
Saint Lawrence,MT,36.06,14.2,25.0,44,0,2.1,1563841984
Ugoofaaru,MV,5.67,73.0,28.52,77,100,6.24,1563841986
Derzhavinsk,KZ,51.1,66.31,19.62,57,80,2.12,1563841987
Kantunilkin,MX,21.1,-87.49,29.0,74,75,1.5,1563841988
Talcahuano,CL,-36.72,-73.12,7.0,81,0,2.6,1563841989
Turukhansk,RU,65.8,87.96,17.92,57,0,2.38,1563841990
Yinchuan,CN,38.48,106.21,27.78,30,51,0.45,1563841991
Castanos,MX,26.78,-101.42,33.82,32,94,8.05,1563841993
Hobyo,SO,5.35,48.53,24.62,65,36,11.06,1563841906
Beibei,CN,29.83,106.43,25.0,94,90,2.0,1563841995
Antiguo Morelos,MX,22.55,-99.08,32.22,51,68,5.36,1563841996
Matara,LK,5.95,80.54,24.62,90,96,3.05,1563842010
Mount Isa,AU,-20.73,139.49,22.0,24,0,3.1,1563842011
Berdigestyakh,RU,62.1,126.7,20.92,46,0,1.39,1563841859
Milan,CO,1.29,-75.51,16.82,97,93,0.82,1563842013
Banda Aceh,ID,5.56,95.32,28.52,68,96,2.75,1563842015
Russell,NZ,-35.26,174.12,17.78,71,21,0.89,1563842016
Moose Factory,CA,51.26,-80.61,11.0,93,90,3.6,1563841865
Touros,BR,-5.2,-35.46,26.0,74,75,3.1,1563842018
La Ronge,CA,55.1,-105.3,28.0,45,20,4.1,1563842019
Agadez,NE,16.97,7.99,30.0,58,1,6.09,1563842020
Bay Roberts,CA,47.58,-53.28,15.56,93,20,2.6,1563842021
Korla,CN,41.76,86.15,20.56,80,66,1.65,1563842023
Shaoguan,CN,24.81,113.59,26.02,86,69,0.69,1563842024
Palampur,IN,32.11,76.54,24.82,64,14,1.26,1563842025
Nova Olimpia,BR,-14.8,-57.29,25.82,43,56,1.78,1563842026
Tiznit,MA,29.7,-9.73,19.32,94,3,3.46,1563842027
Dawlatabad,AF,36.41,64.91,24.62,17,0,3.53,1563842028
Iisalmi,FI,63.56,27.19,15.0,93,0,0.94,1563842030
Terra Boa,BR,-23.77,-52.45,22.0,60,0,5.1,1563842031
Puquio,PE,-14.69,-74.12,6.22,52,32,1.28,1563842032
Tiksi,RU,71.64,128.87,17.52,36,57,5.92,1563842033
Otjimbingwe,NA,-22.35,16.13,10.02,40,0,1.91,1563842034
Nabire,ID,-3.36,135.5,20.12,99,100,2.39,1563842035
Sinop,TR,42.03,35.15,21.52,62,0,4.24,1563842037
High Level,CA,58.52,-117.13,28.0,39,90,2.1,1563842038
Darhan,MN,49.49,105.92,13.82,96,100,1.34,1563842039
Gambela,ET,8.25,34.59,19.32,77,100,1.13,1563842040
Bom Jardim,BR,-7.8,-35.59,20.0,100,75,4.1,1563842041
Champerico,GT,14.3,-91.92,29.0,79,40,2.1,1563842043
Uusikaupunki,FI,60.8,21.41,13.33,100,20,1.0,1563842044
Coleraine,GB,55.13,-6.67,19.0,77,20,3.1,1563841864
Abha,SA,18.22,42.5,21.0,59,0,0.87,1563842046
Bilma,NE,18.69,12.92,32.52,33,0,4.1,1563842047
Ambilobe,MG,-13.19,49.05,20.52,78,100,3.44,1563842048
Pozoblanco,ES,38.38,-4.85,28.0,54,10,3.1,1563842049
Necochea,AR,-38.55,-58.74,3.33,95,0,2.58,1563842051
Ico,BR,-6.4,-38.86,24.52,64,94,1.98,1563842052
Cayenne,GF,4.94,-52.33,24.0,100,0,1.0,1563841891
Usinsk,RU,66.0,57.56,14.12,87,93,7.61,1563842054
Batemans Bay,AU,-35.71,150.18,16.67,46,0,1.34,1563842055
Marsh Harbour,BS,26.54,-77.06,29.02,77,100,8.93,1563842056
Nouadhibou,MR,20.93,-17.03,22.0,73,2,10.3,1563841872
Malanje,AO,-9.54,16.35,14.62,85,1,1.77,1563842059
Comodoro Rivadavia,AR,-45.87,-67.48,6.0,56,0,8.2,1563842060
Dakoro,NE,14.51,6.76,28.92,54,67,4.94,1563842061
Grindavik,IS,63.84,-22.43,13.0,87,75,2.1,1563841925
Novoseleznevo,RU,55.68,69.21,15.92,96,99,4.05,1563842063
Salisbury,US,38.37,-75.6,32.22,83,1,2.1,1563842064
Ilebo,CD,-4.33,20.59,21.92,42,45,0.44,1563842066
Sabha,LY,27.03,14.43,25.72,21,0,5.66,1563842067
Pochutla,MX,15.74,-96.47,26.0,78,90,0.66,1563841892
Sainte-Rose,RE,-21.13,55.8,17.0,88,0,3.6,1563842069
Swan River,CA,52.11,-101.27,24.22,44,46,2.91,1563842070
